Fold,Epoch,Loss,Train_Acc,Test_Acc,Precision,Recall,Train_CM,Test_CM
1,0,1.1265082359313965,0.5905511811023622,0.5859375,0.5859375,1.0,"[[3, 727], [1, 1047]]","[[0, 53], [0, 75]]"
1,1,2.0497775077819824,0.593363329583802,0.5859375,0.5859375,1.0,"[[10, 720], [3, 1045]]","[[0, 53], [0, 75]]"
1,2,1.6714967489242554,0.6462317210348706,0.5859375,0.6037735849056604,0.8533333333333334,"[[193, 537], [92, 956]]","[[11, 42], [11, 64]]"
1,3,1.1314493417739868,0.6231721034870641,0.5546875,0.6875,0.44,"[[619, 111], [559, 489]]","[[38, 15], [42, 33]]"
1,4,0.8860965967178345,0.562429696287964,0.578125,0.8888888888888888,0.32,"[[695, 35], [743, 305]]","[[50, 3], [51, 24]]"
1,5,0.891653299331665,0.6304836895388076,0.546875,0.7428571428571429,0.3466666666666667,"[[684, 46], [611, 437]]","[[44, 9], [49, 26]]"
1,6,0.8438225984573364,0.7424071991001124,0.6484375,0.7678571428571429,0.5733333333333334,"[[607, 123], [335, 713]]","[[40, 13], [32, 43]]"
1,7,0.7952997088432312,0.7868391451068616,0.6640625,0.7162162162162162,0.7066666666666667,"[[545, 185], [194, 854]]","[[32, 21], [22, 53]]"
1,8,0.7785041928291321,0.78177727784027,0.65625,0.7012987012987013,0.72,"[[520, 210], [178, 870]]","[[30, 23], [21, 54]]"
1,9,0.7605904340744019,0.7907761529808774,0.671875,0.726027397260274,0.7066666666666667,"[[561, 169], [203, 845]]","[[33, 20], [22, 53]]"
1,10,0.7429922819137573,0.781214848143982,0.7109375,0.8064516129032258,0.6666666666666666,"[[613, 117], [272, 776]]","[[41, 12], [25, 50]]"
1,11,0.7082793712615967,0.7710911136107986,0.7109375,0.8653846153846154,0.6,"[[646, 84], [323, 725]]","[[46, 7], [30, 45]]"
1,12,0.7163368463516235,0.7727784026996626,0.71875,0.8823529411764706,0.6,"[[647, 83], [321, 727]]","[[47, 6], [30, 45]]"
1,13,0.7029955983161926,0.781214848143982,0.71875,0.8545454545454545,0.6266666666666667,"[[634, 96], [293, 755]]","[[45, 8], [28, 47]]"
1,14,0.6835877299308777,0.7924634420697413,0.7109375,0.8064516129032258,0.6666666666666666,"[[614, 116], [253, 795]]","[[41, 12], [25, 50]]"
1,15,0.66472989320755,0.8008998875140607,0.7421875,0.8181818181818182,0.72,"[[592, 138], [216, 832]]","[[41, 12], [21, 54]]"
1,16,0.664722740650177,0.8037120359955006,0.765625,0.8260869565217391,0.76,"[[584, 146], [203, 845]]","[[41, 12], [18, 57]]"
1,17,0.6553652882575989,0.8048368953880765,0.75,0.8307692307692308,0.72,"[[598, 132], [215, 833]]","[[42, 11], [21, 54]]"
1,18,0.6566513180732727,0.8087739032620922,0.7421875,0.85,0.68,"[[630, 100], [240, 808]]","[[44, 9], [24, 51]]"
1,19,0.6312604546546936,0.8031496062992126,0.71875,0.8545454545454545,0.6266666666666667,"[[651, 79], [271, 777]]","[[45, 8], [28, 47]]"
1,20,0.6244133114814758,0.7896512935883014,0.7109375,0.8518518518518519,0.6133333333333333,"[[662, 68], [306, 742]]","[[45, 8], [29, 46]]"
1,21,0.6432420015335083,0.7941507311586051,0.71875,0.8545454545454545,0.6266666666666667,"[[661, 69], [297, 751]]","[[45, 8], [28, 47]]"
1,22,0.6270506381988525,0.8070866141732284,0.7578125,0.8666666666666667,0.6933333333333334,"[[649, 81], [262, 786]]","[[45, 8], [23, 52]]"
1,23,0.6142919063568115,0.8155230596175478,0.7578125,0.84375,0.72,"[[642, 88], [240, 808]]","[[43, 10], [21, 54]]"
1,24,0.6021515130996704,0.8200224971878515,0.765625,0.835820895522388,0.7466666666666667,"[[631, 99], [221, 827]]","[[42, 11], [19, 56]]"
1,25,0.6090413331985474,0.8211473565804275,0.7734375,0.8382352941176471,0.76,"[[625, 105], [213, 835]]","[[42, 11], [18, 57]]"
1,26,0.59871906042099,0.8222722159730034,0.7734375,0.8382352941176471,0.76,"[[623, 107], [209, 839]]","[[42, 11], [18, 57]]"
1,27,0.6037313938140869,0.8239595050618672,0.7734375,0.8382352941176471,0.76,"[[622, 108], [205, 843]]","[[42, 11], [18, 57]]"
1,28,0.6053597331047058,0.8256467941507312,0.78125,0.8507462686567164,0.76,"[[627, 103], [207, 841]]","[[43, 10], [18, 57]]"
1,29,0.5984607934951782,0.8262092238470191,0.7890625,0.875,0.7466666666666667,"[[633, 97], [212, 836]]","[[45, 8], [19, 56]]"
1,30,0.5881671905517578,0.8239595050618672,0.78125,0.873015873015873,0.7333333333333333,"[[636, 94], [219, 829]]","[[45, 8], [20, 55]]"
1,31,0.582556962966919,0.8250843644544432,0.78125,0.873015873015873,0.7333333333333333,"[[640, 90], [221, 827]]","[[45, 8], [20, 55]]"
1,32,0.5773720741271973,0.8256467941507312,0.7734375,0.8709677419354839,0.72,"[[641, 89], [221, 827]]","[[45, 8], [21, 54]]"
1,33,0.5733729600906372,0.8278965129358831,0.7734375,0.8709677419354839,0.72,"[[644, 86], [220, 828]]","[[45, 8], [21, 54]]"
1,34,0.5746947526931763,0.8267716535433071,0.765625,0.8688524590163934,0.7066666666666667,"[[649, 81], [227, 821]]","[[45, 8], [22, 53]]"
1,35,0.5753304958343506,0.8250843644544432,0.765625,0.8688524590163934,0.7066666666666667,"[[649, 81], [230, 818]]","[[45, 8], [22, 53]]"
1,36,0.561553955078125,0.8278965129358831,0.765625,0.8688524590163934,0.7066666666666667,"[[650, 80], [226, 822]]","[[45, 8], [22, 53]]"
1,37,0.5714855790138245,0.8301462317210349,0.765625,0.8688524590163934,0.7066666666666667,"[[649, 81], [221, 827]]","[[45, 8], [22, 53]]"
1,38,0.5668479204177856,0.8346456692913385,0.765625,0.8688524590163934,0.7066666666666667,"[[647, 83], [211, 837]]","[[45, 8], [22, 53]]"
2,0,1.5608189105987549,0.5935919055649241,0.5748031496062992,0.584,0.9733333333333334,"[[8, 723], [0, 1048]]","[[0, 52], [2, 73]]"
2,1,1.4797966480255127,0.5919055649241147,0.5905511811023622,0.5934959349593496,0.9733333333333334,"[[13, 718], [8, 1040]]","[[2, 50], [2, 73]]"
2,2,1.2429478168487549,0.6357504215851602,0.6692913385826772,0.6486486486486487,0.96,"[[171, 560], [88, 960]]","[[13, 39], [3, 72]]"
2,3,0.919597864151001,0.4412591343451377,0.44881889763779526,0.8571428571428571,0.08,"[[721, 10], [984, 64]]","[[51, 1], [69, 6]]"
2,4,1.024011492729187,0.4255199550309162,0.41732283464566927,0.6666666666666666,0.02666666666666667,"[[729, 2], [1020, 28]]","[[51, 1], [73, 2]]"
2,5,1.1190708875656128,0.49971894322653176,0.5039370078740157,0.8333333333333334,0.2,"[[714, 17], [873, 175]]","[[49, 3], [60, 15]]"
2,6,1.0636310577392578,0.6458684654300169,0.6535433070866141,0.7924528301886793,0.56,"[[628, 103], [527, 521]]","[[41, 11], [33, 42]]"
2,7,0.8390494585037231,0.7206295671725689,0.7244094488188977,0.7631578947368421,0.7733333333333333,"[[508, 223], [274, 774]]","[[34, 18], [17, 58]]"
2,8,0.8155975937843323,0.7448004496908376,0.7559055118110236,0.7558139534883721,0.8666666666666667,"[[458, 273], [181, 867]]","[[31, 21], [10, 65]]"
2,9,0.784371018409729,0.760539629005059,0.7716535433070866,0.7674418604651163,0.88,"[[455, 276], [150, 898]]","[[32, 20], [9, 66]]"
2,10,0.7645587921142578,0.7762788083192805,0.7716535433070866,0.7875,0.84,"[[506, 225], [173, 875]]","[[35, 17], [12, 63]]"
2,11,0.7271730303764343,0.7830241708825183,0.7795275590551181,0.821917808219178,0.8,"[[559, 172], [214, 834]]","[[39, 13], [15, 60]]"
2,12,0.7147627472877502,0.7785272625070264,0.7559055118110236,0.8333333333333334,0.7333333333333333,"[[602, 129], [265, 783]]","[[41, 11], [20, 55]]"
2,13,0.7094283103942871,0.7774030354131535,0.7322834645669292,0.8253968253968254,0.6933333333333334,"[[614, 117], [279, 769]]","[[41, 11], [23, 52]]"
2,14,0.7013180255889893,0.7835862844294548,0.7401574803149606,0.8181818181818182,0.72,"[[609, 122], [263, 785]]","[[40, 12], [21, 54]]"
2,15,0.6856800317764282,0.790893760539629,0.7480314960629921,0.7866666666666666,0.7866666666666666,"[[575, 156], [216, 832]]","[[36, 16], [16, 59]]"
2,16,0.6714599132537842,0.8015739179314222,0.7559055118110236,0.775,0.8266666666666667,"[[557, 174], [179, 869]]","[[34, 18], [13, 62]]"
2,17,0.6683288812637329,0.8004496908375491,0.7795275590551181,0.7974683544303798,0.84,"[[543, 188], [167, 881]]","[[36, 16], [12, 63]]"
2,18,0.6638674736022949,0.7998875772906127,0.7716535433070866,0.7948717948717948,0.8266666666666667,"[[554, 177], [179, 869]]","[[36, 16], [13, 62]]"
2,19,0.6457756757736206,0.8055087127599775,0.7559055118110236,0.7972972972972973,0.7866666666666666,"[[574, 157], [189, 859]]","[[37, 15], [16, 59]]"
2,20,0.6422348022460938,0.80831928049466,0.7559055118110236,0.8235294117647058,0.7466666666666667,"[[601, 130], [211, 837]]","[[40, 12], [19, 56]]"
3,0,1.5875786542892456,0.5851602023608768,0.5826771653543307,0.5873015873015873,0.9866666666666667,"[[7, 724], [14, 1034]]","[[0, 52], [1, 74]]"
3,1,1.7120676040649414,0.5952782462057336,0.6062992125984252,0.6050420168067226,0.96,"[[57, 674], [46, 1002]]","[[5, 47], [3, 72]]"
3,2,1.3120466470718384,0.6486790331646992,0.6850393700787402,0.7536231884057971,0.6933333333333334,"[[488, 243], [382, 666]]","[[35, 17], [23, 52]]"
3,3,0.9319862127304077,0.43057897695334457,0.4330708661417323,0.8,0.05333333333333334,"[[731, 0], [1013, 35]]","[[51, 1], [71, 4]]"
3,4,1.0955700874328613,0.42270938729623386,0.4094488188976378,0.5,0.013333333333333334,"[[731, 0], [1027, 21]]","[[51, 1], [74, 1]]"
3,5,1.2232447862625122,0.47217537942664417,0.47244094488188976,0.9,0.12,"[[728, 3], [936, 112]]","[[51, 1], [66, 9]]"
3,6,1.0225343704223633,0.6447442383361439,0.6850393700787402,0.9069767441860465,0.52,"[[677, 54], [578, 470]]","[[48, 4], [36, 39]]"
3,7,0.857681393623352,0.7082630691399663,0.7480314960629921,0.7216494845360825,0.9333333333333333,"[[363, 368], [151, 897]]","[[25, 27], [5, 70]]"
3,8,0.838335394859314,0.6953344575604272,0.7007874015748031,0.6728971962616822,0.96,"[[267, 464], [78, 970]]","[[17, 35], [3, 72]]"
3,9,0.8826611638069153,0.716132658797077,0.7322834645669292,0.7029702970297029,0.9466666666666667,"[[336, 395], [110, 938]]","[[22, 30], [4, 71]]"
3,10,0.9081718921661377,0.7509836987071389,0.7874015748031497,0.7790697674418605,0.8933333333333333,"[[486, 245], [198, 850]]","[[33, 19], [8, 67]]"
3,11,0.7886151075363159,0.7318718381112985,0.7874015748031497,0.875,0.7466666666666667,"[[606, 125], [352, 696]]","[[44, 8], [19, 56]]"
3,12,0.7495529651641846,0.7032040472175379,0.7401574803149606,0.92,0.6133333333333333,"[[678, 53], [475, 573]]","[[48, 4], [29, 46]]"
3,13,0.7633867263793945,0.6908375491849353,0.6929133858267716,0.9090909090909091,0.5333333333333333,"[[694, 37], [513, 535]]","[[48, 4], [35, 40]]"
3,14,0.7940190434455872,0.7060146149522204,0.7322834645669292,0.9183673469387755,0.6,"[[685, 46], [477, 571]]","[[48, 4], [30, 45]]"
3,15,0.7533642053604126,0.7380550871275998,0.7952755905511811,0.9016393442622951,0.7333333333333333,"[[651, 80], [386, 662]]","[[46, 6], [20, 55]]"
3,16,0.7234339714050293,0.7712197863968522,0.8031496062992126,0.8472222222222222,0.8133333333333334,"[[596, 135], [272, 776]]","[[41, 11], [14, 61]]"
3,17,0.7033909559249878,0.790893760539629,0.84251968503937,0.8313253012048193,0.92,"[[553, 178], [194, 854]]","[[38, 14], [6, 69]]"
3,18,0.7085939645767212,0.7886453063518831,0.8503937007874016,0.8181818181818182,0.96,"[[532, 199], [177, 871]]","[[36, 16], [3, 72]]"
3,19,0.7068886756896973,0.7903316469926925,0.8503937007874016,0.8111111111111111,0.9733333333333334,"[[532, 199], [174, 874]]","[[35, 17], [2, 73]]"
3,20,0.6981382966041565,0.8015739179314222,0.84251968503937,0.8160919540229885,0.9466666666666667,"[[563, 168], [185, 863]]","[[36, 16], [4, 71]]"
3,21,0.6802241206169128,0.8038223721191681,0.8503937007874016,0.8414634146341463,0.92,"[[593, 138], [211, 837]]","[[39, 13], [6, 69]]"
3,22,0.6629290580749512,0.7931422147273749,0.8503937007874016,0.8589743589743589,0.8933333333333333,"[[622, 109], [259, 789]]","[[41, 11], [8, 67]]"
3,23,0.653175950050354,0.7897695334457561,0.8503937007874016,0.8783783783783784,0.8666666666666667,"[[639, 92], [282, 766]]","[[43, 9], [10, 65]]"
3,24,0.6627423763275146,0.7880831928049467,0.84251968503937,0.8873239436619719,0.84,"[[651, 80], [297, 751]]","[[44, 8], [12, 63]]"
3,25,0.6591519117355347,0.7875210792580101,0.8503937007874016,0.9,0.84,"[[648, 83], [295, 753]]","[[45, 7], [12, 63]]"
3,26,0.6586413979530334,0.8004496908375491,0.8582677165354331,0.88,0.88,"[[643, 88], [267, 781]]","[[43, 9], [9, 66]]"
3,27,0.6399635672569275,0.8077571669477235,0.8582677165354331,0.8518518518518519,0.92,"[[632, 99], [243, 805]]","[[40, 12], [6, 69]]"
3,28,0.6389641761779785,0.8105677346824058,0.84251968503937,0.8313253012048193,0.92,"[[614, 117], [220, 828]]","[[38, 14], [6, 69]]"
3,29,0.6324622631072998,0.8133783024170883,0.84251968503937,0.8235294117647058,0.9333333333333333,"[[600, 131], [201, 847]]","[[37, 15], [5, 70]]"
3,30,0.6354547739028931,0.8201236649803261,0.8267716535433071,0.8045977011494253,0.9333333333333333,"[[594, 137], [183, 865]]","[[35, 17], [5, 70]]"
3,31,0.6331281661987305,0.8201236649803261,0.8267716535433071,0.8045977011494253,0.9333333333333333,"[[593, 138], [182, 866]]","[[35, 17], [5, 70]]"
3,32,0.6260083913803101,0.821247892074199,0.8267716535433071,0.8045977011494253,0.9333333333333333,"[[598, 133], [185, 863]]","[[35, 17], [5, 70]]"
3,33,0.6174675822257996,0.8206857785272625,0.8346456692913385,0.813953488372093,0.9333333333333333,"[[601, 130], [189, 859]]","[[36, 16], [5, 70]]"
3,34,0.6206672787666321,0.821247892074199,0.8346456692913385,0.813953488372093,0.9333333333333333,"[[608, 123], [195, 853]]","[[36, 16], [5, 70]]"
3,35,0.6125116348266602,0.8195615514333895,0.84251968503937,0.8235294117647058,0.9333333333333333,"[[614, 117], [204, 844]]","[[37, 15], [5, 70]]"
4,0,1.192369818687439,0.5890949971894323,0.5905511811023622,0.5905511811023622,1.0,"[[0, 731], [0, 1048]]","[[0, 52], [0, 75]]"
4,1,2.1565871238708496,0.5885328836424958,0.5905511811023622,0.5905511811023622,1.0,"[[0, 731], [1, 1047]]","[[0, 52], [0, 75]]"
4,2,1.7275981903076172,0.6216975829117481,0.6141732283464567,0.6160714285714286,0.92,"[[94, 637], [36, 1012]]","[[9, 43], [6, 69]]"
4,3,1.192521572113037,0.65654862282181,0.6299212598425197,0.7916666666666666,0.5066666666666667,"[[603, 128], [483, 565]]","[[42, 10], [37, 38]]"
4,4,0.8650331497192383,0.5238898257448005,0.5118110236220472,0.9333333333333333,0.18666666666666668,"[[723, 8], [839, 209]]","[[51, 1], [61, 14]]"
4,5,1.011106252670288,0.537380550871276,0.5118110236220472,0.9333333333333333,0.18666666666666668,"[[724, 7], [816, 232]]","[[51, 1], [61, 14]]"
4,6,1.0167286396026611,0.6385609893198426,0.6299212598425197,0.9375,0.4,"[[702, 29], [614, 434]]","[[50, 2], [45, 30]]"
4,7,0.8472038507461548,0.7397414277684092,0.7086614173228346,0.8275862068965517,0.64,"[[576, 155], [308, 740]]","[[42, 10], [27, 48]]"
4,8,0.7918602824211121,0.7504215851602024,0.7401574803149606,0.7441860465116279,0.8533333333333334,"[[405, 326], [118, 930]]","[[30, 22], [11, 64]]"
4,9,0.798294186592102,0.7549184935356942,0.7244094488188977,0.7222222222222222,0.8666666666666667,"[[400, 331], [105, 943]]","[[27, 25], [10, 65]]"
4,10,0.8620514869689941,0.7774030354131535,0.7716535433070866,0.8026315789473685,0.8133333333333334,"[[479, 252], [144, 904]]","[[37, 15], [14, 61]]"
4,11,0.7528048753738403,0.7734682405845981,0.7716535433070866,0.859375,0.7333333333333333,"[[575, 156], [247, 801]]","[[43, 9], [20, 55]]"
4,12,0.7161389589309692,0.7577290612703766,0.7480314960629921,0.9056603773584906,0.64,"[[641, 90], [341, 707]]","[[47, 5], [27, 48]]"
4,13,0.7145764827728271,0.7358066329398538,0.7165354330708661,0.9333333333333333,0.56,"[[680, 51], [419, 629]]","[[49, 3], [33, 42]]"
4,14,0.724234402179718,0.7234401349072512,0.7086614173228346,0.9318181818181818,0.5466666666666666,"[[688, 43], [449, 599]]","[[49, 3], [34, 41]]"
4,15,0.7317875027656555,0.7386172006745363,0.7322834645669292,0.9183673469387755,0.6,"[[673, 58], [407, 641]]","[[48, 4], [30, 45]]"
4,16,0.6952294707298279,0.774592467678471,0.7559055118110236,0.9074074074074074,0.6533333333333333,"[[638, 93], [308, 740]]","[[47, 5], [26, 49]]"
4,17,0.6717450618743896,0.7835862844294548,0.7322834645669292,0.8596491228070176,0.6533333333333333,"[[607, 124], [261, 787]]","[[44, 8], [26, 49]]"
4,18,0.6683815121650696,0.8010118043844857,0.7480314960629921,0.8524590163934426,0.6933333333333334,"[[588, 143], [211, 837]]","[[43, 9], [23, 52]]"
4,19,0.6713396310806274,0.7976391231028668,0.7480314960629921,0.8412698412698413,0.7066666666666667,"[[564, 167], [193, 855]]","[[42, 10], [22, 53]]"
5,0,1.1041184663772583,0.5902192242833052,0.5905511811023622,0.5905511811023622,1.0,"[[2, 729], [0, 1048]]","[[0, 52], [0, 75]]"
5,1,2.144010543823242,0.6059584035975267,0.6299212598425197,0.6147540983606558,1.0,"[[40, 691], [10, 1038]]","[[5, 47], [0, 75]]"
5,2,1.5443952083587646,0.6481169196177627,0.6220472440944882,0.7076923076923077,0.6133333333333333,"[[512, 219], [407, 641]]","[[33, 19], [29, 46]]"
5,3,0.9732996225357056,0.4952220348510399,0.4881889763779528,0.9166666666666666,0.14666666666666667,"[[711, 20], [878, 170]]","[[51, 1], [64, 11]]"
5,4,1.2157310247421265,0.47217537942664417,0.4645669291338583,0.8888888888888888,0.10666666666666667,"[[723, 8], [931, 117]]","[[51, 1], [67, 8]]"
5,5,1.36185622215271,0.5182686902754357,0.5039370078740157,0.9285714285714286,0.17333333333333334,"[[712, 19], [838, 210]]","[[51, 1], [62, 13]]"
5,6,1.095549464225769,0.6374367622259697,0.6614173228346457,0.9444444444444444,0.4533333333333333,"[[680, 51], [594, 454]]","[[50, 2], [41, 34]]"
5,7,0.8732157945632935,0.7408656548622822,0.7874015748031497,0.8243243243243243,0.8133333333333334,"[[510, 221], [240, 808]]","[[39, 13], [14, 61]]"
5,8,0.8139017224311829,0.7403035413153457,0.7559055118110236,0.7558139534883721,0.8666666666666667,"[[386, 345], [117, 931]]","[[31, 21], [10, 65]]"
5,9,0.845577597618103,0.746486790331647,0.7716535433070866,0.7674418604651163,0.88,"[[402, 329], [122, 926]]","[[32, 20], [9, 66]]"
5,10,0.8620555400848389,0.7644744238336144,0.7874015748031497,0.8,0.8533333333333334,"[[507, 224], [195, 853]]","[[36, 16], [11, 64]]"
5,11,0.7838025093078613,0.7543563799887577,0.7952755905511811,0.8888888888888888,0.7466666666666667,"[[636, 95], [342, 706]]","[[45, 7], [19, 56]]"
5,12,0.7887830138206482,0.7386172006745363,0.7559055118110236,0.9074074074074074,0.6533333333333333,"[[668, 63], [402, 646]]","[[47, 5], [26, 49]]"
5,13,0.7408925294876099,0.7358066329398538,0.7401574803149606,0.9038461538461539,0.6266666666666667,"[[673, 58], [412, 636]]","[[47, 5], [28, 47]]"
5,14,0.7429192662239075,0.7521079258010118,0.7480314960629921,0.864406779661017,0.68,"[[658, 73], [368, 680]]","[[44, 8], [24, 51]]"
5,15,0.7095931172370911,0.7790893760539629,0.7559055118110236,0.8548387096774194,0.7066666666666667,"[[637, 94], [299, 749]]","[[43, 9], [22, 53]]"
5,16,0.7111225128173828,0.7970770095559303,0.7874015748031497,0.8333333333333334,0.8,"[[601, 130], [231, 817]]","[[40, 12], [15, 60]]"
5,17,0.6904487013816833,0.7953906689151209,0.7795275590551181,0.7974683544303798,0.84,"[[561, 170], [194, 854]]","[[36, 16], [12, 63]]"
5,18,0.6918345093727112,0.7959527824620574,0.7874015748031497,0.8,0.8533333333333334,"[[552, 179], [184, 864]]","[[36, 16], [11, 64]]"
5,19,0.6953639984130859,0.7993254637436762,0.7795275590551181,0.7974683544303798,0.84,"[[564, 167], [190, 858]]","[[36, 16], [12, 63]]"
5,20,0.678929328918457,0.806070826306914,0.7795275590551181,0.8051948051948052,0.8266666666666667,"[[587, 144], [201, 847]]","[[37, 15], [13, 62]]"
6,0,1.402658224105835,0.5907813378302417,0.5905511811023622,0.592,0.9866666666666667,"[[3, 728], [0, 1048]]","[[1, 51], [1, 74]]"
6,1,2.1997811794281006,0.5907813378302417,0.5905511811023622,0.592,0.9866666666666667,"[[6, 725], [3, 1045]]","[[1, 51], [1, 74]]"
